"22","AZUA",
"26","BAHORUCO",
"25","BARAHONA",
"20","DAJABÓN",
"2","SANTO DOMINGO (GRAN)",
"8","DUARTE",
"24","ELÍAS PIÑA",
"6","EL SEIBO",
"16","ESPAILLAT",
"7","HATO MAYOR",
"27","INDEPENDENCIA",
"5","LA ALTAGRACIA",
"4","LA ROMANA",
"12","LA VEGA",
"10","MARÍA TRINIDAD SÁNCHEZ",
"13","MONSEÑOR NOUEL",
"19","MONTE CRISTI",
"30","MONTE PLATA",
"1","DISTRITO NACIONAL",
"32","PERAVIA",
"28","PEDERNALES",
"17","PUERTO PLATA",
"11","HERMANAS MIRABAL (SALCEDO)",
"9","SAMANÁ",
"14","SÁNCHEZ RAMÍREZ",
"29","SAN CRISTÓBAL",
"31","SAN JOSÉ DE OCOA",
"23","SAN JUAN DE LA MAGUANA",
"3","SAN PEDRO DE MACORÍS",
"15","SANTIAGO",
"21","SANTIAGO RODRÍGUEZ",
"18","VALVERDE",
